Link,Name,Brand,DiscountedPrice,DiscountPercentage,SoldQuantity,BatteryCapacity,FrontCamera,BackCamera,GPU,ChargingPort,RAM,Resolution,ROM,ScreenSize,WarrantyDuration,Rating,NumberOfReview,Description
https://cellphones.com.vn/iphone-13.html,iPhone 13 128GB | Chính hãng VN/A,Apple,11590000,17,,,"12MP, f/2.2","Camera góc rộng: 12MP, f/1.6
Camera góc siêu rộng: 12MP, ƒ/2.4",3.22 GHz,,4,2532x1170,128,6.1,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",5.0/5,320,"Hiệu năng vượt trội - Chip Apple A15 Bionic mạnh mẽ, hỗ trợ mạng 5G tốc độ cao
Không gian hiển thị sống động - Màn hình 6.1"" Super Retina XDR độ sáng cao, sắc nét
Trải nghiệm điện ảnh đỉnh cao - Camera kép 12MP, hỗ trợ ổn định hình ảnh quang học
Tối ưu điện năng - Sạc nhanh 20 W, đầy 50% pin trong khoảng 30 phút"
https://cellphones.com.vn/iphone-15-pro-max.html,iPhone 15 Pro Max 256GB | Chính hãng VN/A,Apple,27990000,20,,4422,"12MP, ƒ/1.9","Camera chính: 48MP, 24 mm, ƒ/1.78
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele: 12 MP",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,,8,2796x1290,256,6.7,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",4.9/5,186,"Thiết kế khung viền từ titan chuẩn hàng không vũ trụ - Cực nhẹ, bền cùng viền cạnh mỏng cầm nắm thoải mái
Hiệu năng Pro chiến game thả ga - Chip A17 Pro mang lại hiệu năng đồ họa vô cùng sống động và chân thực
Thoả sức sáng tạo và quay phim chuyên nghiệp - Cụm 3 camera sau đến 48MP và nhiều chế độ tiên tiến
Nút tác vụ mới giúp nhanh chóng kích hoạt tính năng yêu thích của bạn"
https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-5g.html,Xiaomi Redmi Note 14 5G 8GB 256GB,Xiaomi,7290000,,,,"20MP, ƒ/2.2","108MP, ƒ/1.7
8MP góc siêu rộng, ƒ/2.2
2MP Macro, ƒ/2.4","Octa-core processor, up to 2.5GHz
Tiền trình 6nm",,8,1080x2400,256,6.67,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.7/5,3,"Thiết kế Xiaomi Redmi Note 14 5G mỏng với khả năng kháng bụi và nước IP642 cùng kính Gorilla Glass 5, sử dụng bền bỉ hơn
Hiệu suất mạnh mẽ với vi xử lý MediaTek Dimensity 7025-Ultra và pin 5110mAh đảm bảo hiệu suất mượt mà suốt cả ngày
Màn hình 120Hz sáng rõ, độ sáng tối đa 2100 nits, mang lại trải nghiệm xem sắc nét ngay cả dưới ánh nắng
Redmi Note 14 5G với camera AI 108MP ấn tượng hệ thống camera với OIS và tính năng chụp ban đêm, nâng tầm nhiếp ảnh và video
Tiện lợi và an toàn, mở khóa nhanh với cảm biến vân tay trong màn hình"
https://cellphones.com.vn/dien-thoai-nothing-phone-2a-plus.html,Nothing Phone 2A Plus 5G 12GB 256GB - Chỉ có tại CellphoneS,Chuẩn NFC,8490000,26,,5000,"50 MP, f/2.2, 1/2.76""","Camera chính: 50 MP, f/1.88, 1/1.57""
Camera góc siêu rộng: 50 MP, f/2.2, 1/2.76""",Up to 3.0 GHz,,12,1080x2412,256,6.7,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,5,"Màn hình lớn, sắc nét, hỗ trợ tần số quét 120Hz mang lại trải nghiệm mượt mà cho cả việc xem nội dung và chơi game.
Chip MediaTek Dimensity 7350 Pro 5G, Nothing Phone 2 mang đến hiệu suất cao, hỗ trợ tốt các tác vụ đa nhiệm và chơi game nặng.
Hệ thống camera kép với cảm biến chính 50MP và một cảm biến siêu rộng 50MP đem lại những ảnh chụp và video siêu chất lượng.
Pin dung lượng cao 5000 mAh, hỗ trợ sạc nhanh 50W giúp người dùng yên tâm sử dụng cả ngày mà không lo gián đoạn."
https://cellphones.com.vn/samsung-galaxy-z-flip-6.html,Samsung Galaxy Z Flip6 12GB 256GB,Samsung,20990000,28,,4000,"10.0 MP, f/2.2","Camera góc chụp rộng: 50.0 MP, f/1.8, thu phóng quang học 2x
Góc chụp siêu rộng: 12.0 MP, f/2.2","8 nhân 3.39 GHz, 3.1GHz, 2.9GHz, 2.2GHz",,12,1080x2640,256,6.7,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,20,"Chip Snapdragon 8 Gen 3 8 nhân mang đến hiệu năng mạnh mẽ, cho phép bạn xử lý các tác vụ hàng ngày một cách mượt mà.
Màn hình gập 6.7 inch Dynamic AMOLED 2X 120Hz mang đến trải nghiệm hình ảnh tuyệt vời, với độ phân giải cao.
Camera sau 50MP + 12MP cho phép bạn chụp ảnh chất lượng cao, với độ chi tiết cao và màu sắc rực rỡ. 
Pin dung lượng 4000 mAh cho phép bạn sử dụng điện thoại cả ngày dài mà không cần lo lắng về việc hết pin. "
https://cellphones.com.vn/dien-thoai-nubia-neo-3-4g.html,Nubia Neo 3 4G 8GB 128GB,Nubia,3990000,11,,,16MP,50MP + 2MP,Octa-Core (4*Cortex-A76 @ 2.2GHz + 4*Cortex-A55 @2.0GHz),,8,,128,6.8,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,13,"RAM 8GB & Bộ nhớ 128GB hỗ trợ đa nhiệm mượt mà và lưu trữ dữ liệu thoải mái cho người dùng
Hệ thống làm mát tiên tiến, giảm thiểu quá nhiệt khi chơi game lâu, đảm bảo hiệu suất ổn định
Pin 6000mAh thời gian sử dụng dài, cho phép chơi game liên tục từ 7-8 giờ hoặc xem video 10-12 giờ
Công nghệ sạc nhanh 33W đảm bảo thiết bị luôn sẵn sàng hoạt động nhanh chóng
Camera 50MP & Màn hình 6.8 inch 120Hz cải thiện chất lượng ảnh và tối ưu hóa trải nghiệm với thao tác mượt mà"
https://cellphones.com.vn/samsung-galaxy-s24-ultra.html,Samsung Galaxy S24 Ultra 12GB 256GB,Samsung,23990000,29,,,"12 MP, f/2.2","Camera chính: 200MP, Laser AF, OIS
Camera: 50MP, PDAF, OIS, zoom quang học 5x
Camera tele: 10MP
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚","3.39GHz,3.1GHz,2.9GHz,2.2GHz",,12,1440x3120,256,6.8,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.9/5,59,"Trải nghiệm đỉnh cao trên Samsung S24 Ultra với hiệu năng mạnh mẽ từ vi xử lý tân tiến, kết hợp cùng RAM 12GB cho khả năng đa nhiệm mượt mà.
Lưu trữ thoải mái mọi ứng dụng, hình ảnh và video với bộ nhớ trong 256GB.
Nâng tầm nhiếp ảnh di động với hệ thống camera S24 Ultra 5G tiên tiến, cho ra đời những bức ảnh và video chất lượng chuyên nghiệp.
Thiết kế sang trọng, đẳng cấp, khẳng định phong cách thời thượng."
https://cellphones.com.vn/dien-thoai-nothing-phone-2a.html,Nothing Phone 2A 5G 8GB 128GB - Chỉ có tại CellphoneS,Chuẩn NFC,6690000,26,,5000,"32 MP, f/2.2, 1/2.74""","50 MP, f/1.88, 1/1.56""
50 MP, f/2.2, 1/2.76"", 114° FOV",Up to 2.8 GHz,,8,1080x2412,128,6.7,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.9/5,8,"Màn hình 6.7 inch AMOLED, tần số quét 120Hz, hiển thị mượt mà, màu sắc rực rỡ.
Chip MediaTek Dimensity 7200 Pro mạnh mẽ với chip hàng đầu, xử lý đa nhiệm và game nặng mượt mà.
Camera kép với cảm biến 50MP, chụp ảnh sắc nét, quay video 4K ấn tượng.
Pin 5000mAh, sạc nhanh - Dung lượng pin lớn, hỗ trợ sạc nhanh, đáp ứng nhu cầu dùng cả ngày dài."
https://cellphones.com.vn/dien-thoai-samsung-galaxy-a56.html,Samsung Galaxy A56 5G 8GB 128GB,Samsung,9690000,3,,5000,"12.0 MP, F/2.2","50.0 MP, F/1.8 + 12.0 MP, F/2.2 + 5.0 MP, F/2.4","8 nhân 2.9GHz, 2.6GHz, 1.9GHz",,8,1080x2340,128,6.7,"Mới, đầy đủ phụ kiện từ nhà sản xuất",4.5/5,4,"Màn hình Samsung A56 6.7 inch FHD+ Super AMOLED, tần số quét 120Hz cho trải nghiệm hiển thị mượt mà, màu sắc sống động.
Camera chính 50MP OIS, hỗ trợ chống rung quang học giúp chụp ảnh và quay video sắc nét trong mọi điều kiện.
Pin 5000mAh bền bỉ, sạc nhanh 45W đáp ứng nhu cầu sử dụng cả ngày dài.
Hiệu năng mạnh mẽ trên Samsung Galaxy A56 5G với chip Exynos 1580, RAM 8GB đa nhiệm mượt mà."
https://cellphones.com.vn/dien-thoai-poco-x7-pro-5g.html,Xiaomi POCO X7 Pro 5G 12GB 256GB - Chỉ có tại CellphoneS,Chuẩn NFC,9190000,8,,6000,,50MP,,,12,1220x2712,256,6.67,Xiaomi POCO X7 Pro / Bộ sạc / Cáp USB Type-C / Dụng cụ tháo SIM / Ốp bảo vệ / Thông tin an toàn / Hướng dẫn bắt đầu nhanh / Thẻ bảo hành,5.0/5,30,"Hiệu năng vượt trội với Dimensity 8400-Ultra: Bộ vi xử lý hàng đầu mang lại tốc độ xử lý mạnh mẽ, tối ưu hóa cho mọi tác vụ từ chơi game nặng đến làm việc đa nhiệm.
Pin siêu lớn 6000mAh, sạc nhanh HyperCharge 90W, cùng công nghệ sạc nhanh tiên tiến giúp bạn sử dụng thoải mái cả ngày mà không lo gián đoạn.
Màn hình AMOLED CrystalRes 1.5K, tần số quét 120Hz mang lại hình ảnh sắc nét, màu sắc sống động và chuyển động mượt mà.
Camera chất lượng cao 50MP tích hợp OIS với tính năng chống rung quang học (OIS) cho ra những bức ảnh và video sắc nét.
Độ bền cao với khả năng chống bụi, chống nước chuẩn IP68 giúp bạn yên tâm sử dụng trong nhiều điều kiện môi trường khác nhau."
https://cellphones.com.vn/dien-thoai-nubia-neo-3-gt-12gb-256gb.html,Nubia Neo 3 GT 12GB 256GB,Nubia,6590000,6,,,16MP,50MP + 2MP,,,12,1080x2392,256,6.8,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,22,"Hiệu suất mạnh mẽ Chip Unisoc T9100 6nm 5G với tốc độ lên đến 2.7GHz, hiệu suất liền mạch và tốc độ nhanh chóng
Hệ thống tản nhiệt hiệu quả VC lớn 4083 mm² đảm bảo quản lý nhiệt tốt, duy trì hiệu suất tối ưu cho trải nghiệm chơi game
Pin khủng 6000mAh với công nghệ sạc nhanh 80W, người dùng có thể nạp đầy pin nhanh chóng và sử dụng lâu dài
Hệ thống chụp ảnh AI Neovision tạo điều kiện chụp ảnh và video chất lượng cao với nhiều tính năng AI thông minh
Màn hình OLED 120Hz và độ sáng tối đa 1300 nits, mang đến trải nghiệm hình ảnh sống động và chân thực"
https://cellphones.com.vn/iphone-14.html,iPhone 14 128GB | Chính hãng VN/A,Apple,12590000,16,,,"12MP, ƒ/1.9","Camera góc rộng: 12MP, ƒ/1.5
Camera góc siêu rộng: 12MP, ƒ/2.4",3.22 GHz,,6,2532x1170,128,6.1,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",4.9/5,42,"Tuyệt đỉnh thiết kế, tỉ mỉ từng đường nét - Nâng cấp toàn diện với kiểu dáng mới, nhiều lựa chọn màu sắc trẻ trung
Nâng tầm trải ngiệm giải trí đỉnh cao - Màn hình 6,1"""" cùng tấm nền OLED có công nghệ Super Retina XDR cao cấp
Chụp ảnh chuyên nghiệp hơn - Cụm 2 camera 12 MP đi kèm nhiều chế độ và chức năng chụp hiện đại
Hiệu năng hàng đầu thế giới - Apple A15 Bionic 6 nhân xử lí nhanh, ổn định"
https://cellphones.com.vn/iphone-16.html,iPhone 16 128GB | Chính hãng VN/A,Apple,18990000,17,,,"12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels","Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao
Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,2556x1179,128,6.1,"Máy mới 100% , chính hãng Apple Việt Nam.
CellphoneS hiện là đại lý bán lẻ uỷ quyền iPhone chính hãng VN/A của Apple Việt Nam",4.8/5,32,"iPhone 16 được trang bị vi xử lý Apple A18, cho hiệu năng mạnh mẽ, đáp ứng tốt các tác vụ nặng như chơi game, thiết kế đồ họa và chạy đa nhiệm.
Điều khiển Camera - Giúp bạn truy cập nhanh các công cụ camera dễ dàng hơn chỉ cần trượt ngón tay.
Hệ thống camera mới - Chụp ảnh và quay video macro cực kỳ chi tiết và sắc nét dù từ xa hay gần.
Vỏ máy iPhone 16 được làm từ nhôm chuẩn hàng không vũ trụ cứng cáp và kính pha màu ở mặt sau vừa đẹp vừa bền bỉ."
https://cellphones.com.vn/dien-thoai-nothing-phone-2a-12gb-256gb.html,Nothing Phone 2A 5G 12GB 256GB - Chỉ có tại CellphoneS,Chuẩn NFC,7690000,25,,5000,"32 MP, f/2.2, 1/2.74""","50 MP, f/1.88, 1/1.56""
50 MP, f/2.2, 1/2.76"", 114° FOV",Up to 2.8 GHz,,12,1080x2412,256,6.7,"Mới, đầy đủ phụ kiện từ nhà sản xuất",5.0/5,3,"Màn hình 6.7 inch AMOLED, tần số quét 120Hz, hiển thị mượt mà, màu sắc rực rỡ.
Chip MediaTek Dimensity 7200 Pro mạnh mẽ với chip hàng đầu, xử lý đa nhiệm và game nặng mượt mà.
Camera kép với cảm biến 50MP, chụp ảnh sắc nét, quay video 4K ấn tượng.
Pin 5000mAh, sạc nhanh - Dung lượng pin lớn, hỗ trợ sạc nhanh, đáp ứng nhu cầu dùng cả ngày dài."
https://cellphones.com.vn/iphone-15-plus.html,iPhone 15 Plus 128GB | Chính hãng VN/A,Apple,19290000,16,,4383,"12MP, ƒ/1.9",Chính 48 MP & Phụ 12 MP,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,6,2796x1290,128,6.7,"Hộp, Sách hướng dẫn, Cây lấy sim, Cáp Type C",4.8/5,54,"Thiết kế dẫn đầu xu hướng - Nhiều màu sắc trendy cùng chất liệu kính pha màu và khung nhôm vô cùng bền bỉ
Nắm bắt và tương tác mọi thông tin dễ dàng hơn với Dynamic Island mở rộng
Chụp ảnh chân dung xuất sắc mọi khoảnh khắc - Camera chính 48MP với tele 2X và chế độ chỉnh sửa đa dạng
Hiệu năng cân mọi tác vụ - A16 Bionic mạnh mẽ cho mọi thao tác mượt mà và nhanh chóng"
