ID,Link,Name,DiscountedPrice,DiscountedPercent,Brand,Rating,NumberOfReview,Description,WarrantyDuration,Card,CPU,RAM,Storage,Battery,Screen_size,Operating_System,Resolution,Ports
326050,https://www.thegioididong.com/laptop/hp-15-fd0303tu-i3-a2nl4pa,Laptop HP 15 fd0303TU i3 1315U/8GB/512GB/Win11 (A2NL4PA),11490000.0,-14%,HP,5,4 đánh giá,"Nếu bạn đang tìm kiếm một chiếc laptop HP cơ bản để phục vụ cho việc học hoặc làm việc văn phòng đến thiết kế đồ họa nhẹ nhàng thì còn chần chừ gì nữa mà không tham khảo ngay laptop HP 15 fd0303TU i3 1315U (A2NL4PA). Sản phẩm này ngoại hình hiện đại, gọn gàng sẵn sàng đồng hành cùng bạn ở bất kì đâu.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i3 Raptor Lake - 1315U,Hãng không công bố,3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","3-cell, 41Wh",15.6,Windows 11 Home SL,Full HD (1920 x 1080),"2 x USB Type-A
HDMI
1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)
1 x Headphone/microphone combo"
333105,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i7-n5i7125w1,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11 (N5I7125W1),19490000.0,-5%,Dell,4.9,1 đánh giá,"Nếu bạn đang tìm kiếm một chiếc laptop văn phòng vừa mạnh mẽ vừa tiện dụng, laptop Dell Inspiron 15 3520 i7 1255U (N5I7125W1) chính là lựa chọn đáng cân nhắc. Với hiệu suất ấn tượng, màn hình rộng sắc nét và thiết kế hiện đại, sản phẩm này sẽ là trợ thủ đắc lực cho công việc lẫn giải trí của bạn.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i7 Alder Lake - 1255U,1.7GHz,2666 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","4-cell, 54Wh",15.6,Windows 11 Home SL + Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic,Full HD (1920 x 1080),"1 x USB 2.0
2 x USB 3.2
HDMI
1 x Headphone/microphone combo"
309375,https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w,Laptop Asus Vivobook 16 X1605VA i5 1335U/16GB/512GB/Win11 (MB360W),14690000.0,-22%,Asus,4.9,19 đánh giá,Laptop Asus Vivobook 16 X1605VA i5 1335U (MB360W) là khi sức mạnh gặp sang trọng được gói gọn trong một con laptop văn phòng với giá cả hợp lý đáp ứng cho bạn đầy đủ nhu cầu làm việc hay giải trí của người dùng từ chip Intel Gen 13 đến bộ nhớ RAM 16 GB.,Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Raptor Lake - 1335U,1.3GHz,3200 MHz,512 GB SSD NVMe PCIe,"3-cell, 42Wh",16,Windows 11 Home SL,WUXGA,"1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C (chỉ hỗ trợ Power Delivery)"
333430,https://www.thegioididong.com/laptop/acer-nitro-v-15-anv15-41-r2up-r5-nhqpgsv004,Laptop Acer Gaming Nitro V 15 ANV15 41 R2UP R5 6600H/16GB/512GB/4GB RTX2050/165Hz/Win11 (NH.QPGSV.004),17690000.0,-13%,Acer,5,,"Bạn đang tìm kiếm một chiếc laptop không chỉ mạnh mẽ trong cấu hình mà còn đậm cá tính nhưng giá thành lại còn hợp lý. Laptop Acer Nitro V 15 ANV15 41 R2UP R5 6600H (NH.QPGSV.004) chính là lựa chọn hoàn hảo để nâng tầm trải nghiệm game và sáng tạo của bạn. Sở hữu thiết kế ấn tượng cùng hiệu năng vượt trội, chiếc laptop này hứa hẹn sẽ chinh phục cả những game thủ khó tính nhất.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,AMD Ryzen 5 - 6600H,3.3GHz,4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","4-cell, 57Wh",15.6,Windows 11 Home SL,Full HD (1920 x 1080),"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C USB 4 (hỗ trợ DisplayPort)
LAN (RJ45)"
334442,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i5-83k1000hvn,Laptop Lenovo IdeaPad Slim 3 15IRH10 i5 13420H/16GB/512GB/Win11 (83K1000HVN),16190000.0,NaN,Lenovo,4.9,2 đánh giá,"Laptop Lenovo IdeaPad Slim 3 15IRH10 i5 13420H (83K1000HVN) là sự lựa chọn lý tưởng cho học sinh, sinh viên và nhân viên văn phòng nhờ sự kết hợp hoàn hảo giữa hiệu năng ổn định, thiết kế mỏng nhẹ và tính di động cao. Đây là người bạn đồng hành đáng tin cậy, đáp ứng tốt mọi nhu cầu từ học tập, làm việc đến giải trí, mang đến trải nghiệm sử dụng tuyệt vời trong tầm giá.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Raptor Lake - 13420H,2.1GHz,4800 MHz,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",60 Wh,15.3,Windows 11 Home SL,WUXGA,"USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)
2 x USB 3.2
HDMI
1 x Headphone/microphone combo"
231244,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,Laptop MacBook Air 13 inch M1 8GB/256GB,17190000.0,-14%,MacBook,4.9,216 đánh giá,"Laptop Apple MacBook Air M1 2020 thuộc dòng laptop cao cấp sang trọng có cấu hình mạnh mẽ, chinh phục được các tính năng văn phòng lẫn đồ hoạ mà bạn mong muốn, thời lượng pin dài, thiết kế mỏng nhẹ sẽ đáp ứng tốt các nhu cầu làm việc của bạn.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Apple M1,Hãng không công bố,Hãng không công bố,256 GB SSD,Lên đến 18 giờ,13.3,macOS,Retina (2560 x 1600),"Jack tai nghe 3.5 mm
2 x Thunderbolt 3 (USB-C)"
331362,https://www.thegioididong.com/laptop/msi-modern-15-f13mg-i5-082vn,Laptop MSI Modern 15 F13MG i5 1335U/16GB/512GB/Win11 (082VN),14190000.0,-17%,MSI,5,,"Laptop học tập và văn phòng luôn là dòng sản phẩm được ưa chuộng bởi tính tiện dụng, hiệu năng ổn định và phù hợp với nhu cầu đa dạng. Trong đó, laptop MSI Modern 15 F13MG i5 1335U (082VN) nổi bật như một lựa chọn hoàn hảo với thiết kế tinh tế, cấu hình mạnh mẽ và giá cả hợp lý, đáp ứng nhu cầu từ học sinh, sinh viên đến nhân viên văn phòng. Hãy cùng khám phá những ưu điểm nổi bật của chiếc máy tính xách tay này tại Thế Giới Di Động.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Raptor Lake - 1335U,1.3GHz,3200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","3-cell, 45Wh",15.6,Windows 11 Home SL,Full HD (1920 x 1080),"3 x USB 3.2
HDMI
1 x Headphone/microphone combo
LAN (RJ45)
1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)"
321192,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-25p231,Laptop Dell Inspiron 15 3520 i5 1235U/16GB/512GB/120Hz/OfficeHS/KYHD/Win11,16490000.0,NaN,Dell,4.9,22 đánh giá,"Laptop Dell Inspiron 15 3520 i5 1235U (25P231) hoàn toàn sở hữu mọi yếu tố mà một người dùng cá nhân cơ bản cần, hiệu năng ổn định từ con chip Intel i5, RAM 16 GB, màn hình 15.6 inch thoải mái cũng như sở hữu một mức giá lý tưởng tại Thế Giới Di Động.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,NaN,NaN,2666 MHz,"512 GB SSD NVMe PCIe
Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)","3-cell, 41Wh",15.6,Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,Full HD (1920 x 1080),"1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI"
334792,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i3-nj1634w,Laptop Asus Vivobook 15 X1504VA i3 1315U/8GB/512GB/Win11 (NJ1634W),10690000.0,-15%,Asus,5,,"Một chiếc laptop lý tưởng cho học tập và làm việc không chỉ cần hiệu năng mạnh mẽ mà còn phải có thiết kế tinh tế, hiện đại cùng mức giá hợp lý. Laptop Asus Vivobook 15 X1504VA i3 1315U (NJ1634W) chính là sự lựa chọn đáng tin cậy dành cho sinh viên và nhân viên văn phòng nhờ sự cân bằng hoàn hảo giữa hiệu suất và tính di động.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,NaN,NaN,3200 MHz,512 GB SSD NVMe PCIe,"3-cell, 42Wh",15.6,Windows 11 Home SL,Full HD (1920 x 1080),"1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
USB Type-C"
326049,https://www.thegioididong.com/laptop/hp-245-g10-r5-a20tdpt,Laptop HP 245 G10 R5 7530U/8GB/512GB/Win11 (A20TDPT),12690000.0,-13%,HP,4.9,2 đánh giá,"Nếu bạn tìm kiếm cho mình chiếc laptop học tập - văn phòng, xử lý mượt mà đa dạng tác vụ trong học tập và công việc hằng ngày, laptop HP 245 G10 R5 7530U (A20TDPT) sẽ là lựa chọn hợp lý dành cho bạn nhờ sở hữu chip AMD Ryzen 5 7000 series, RAM hay bộ nhớ ổn định cùng thiết kế tinh giản, hiện đại vô cùng.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,AMD Ryzen 5 - 7530U,2GHz,3200 MHz,512 GB SSD NVMe PCIe,"3-cell, 41Wh",14,Windows 11 Home SL,Full HD (1920 x 1080),"2 x USB 3.2
HDMI
1 x Headphone/microphone combo
USB Type-C"
325500,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15amn8-r5-82xq00j0vn,Laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U/16GB/512GB/Win11 (82XQ00J0VN),13190000.0,-8%,Lenovo,4.9,5 đánh giá,"Trong thị trường laptop học tập - văn phòng, chiếc laptop Lenovo Ideapad Slim 3 15AMN8 R5 7520U (82XQ00J0VN) nhanh chóng thu hút sự chú ý của người dùng bởi nhiều ưu điểm nổi bật. Chiếc laptop này hội tụ đầy đủ các yếu tố để trở thành người bạn đồng hành lý tưởng cho học sinh, sinh viên và nhân viên văn phòng, đáp ứng mọi nhu cầu học tập, làm việc và giải trí một cách hiệu quả.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,NaN,NaN,5500 MHz,512 GB SSD NVMe PCIe Gen 4.0,47 Wh,15.6,Windows 11 Home SL,Full HD (1920 x 1080),"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery và DisplayPort 1.2)"
334996,https://www.thegioididong.com/laptop/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002,Laptop Acer Aspire Lite AL14 52M 54CJ i5 1334U/16GB/512GB/Win11 (NX.J39SV.002),14190000.0,-10%,Acer,5,,"Laptop Acer Aspire Lite AL14 52M 54CJ i5 1334U (NX.J39SV.002) nổi bật với hiệu năng mạnh mẽ nhờ bộ vi xử lý Intel Core i5 1334U, màn hình 14 inch sắc nét. Thiết kế máy hiện đại, tinh tế, phù hợp với nhiều đối tượng người dùng, là một lựa chọn đáng cân nhắc cho những ai đang tìm kiếm một chiếc laptop đa năng, hiệu suất tốt và giá cả phải chăng.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Raptor Lake - 1334U,1.3GHz,4800 MHz,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)","3-cell Li-ion, 58 Wh",14,Windows 11 Home SL,WUXGA,"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ DisplayPort)"
282827,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022,Laptop Apple MacBook Air 13 inch M2 8GB/256GB,20090000.0,-19%,MacBook,4.9,79 đánh giá,"Sau 14 năm, ba lần sửa đổi và hai kiến trúc bộ vi xử lý khác nhau, kiểu dáng mỏng dần mang tính biểu tượng của MacBook Air đã đi vào lịch sử. Thay vào đó là một chiếc MacBook Air M2 với thiết kế hoàn toàn mới, độ dày không thay đổi tương tự như MacBook Pro, đánh bật mọi rào cản với con chip Apple M2 đầy mạnh mẽ.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,NaN,NaN,Hãng không công bố,256 GB SSD,Lên đến 18 giờ,13.6,macOS,Liquid Retina (2560 x 1664),"Jack tai nghe 3.5 mm
MagSafe 3
2 x Thunderbolt 3"
311176,https://www.thegioididong.com/laptop/hp-pavilion-15-eg3093tu-i5-8c5l4pa,Laptop HP Pavilion 15 eg3093TU i5 1335U/16GB/512GB/Win11 (8C5L4PA),18190000.0,-14%,HP,4.9,1 đánh giá,"Laptop HP Pavilion 15 eg3093TU i5 1335U (8C5L4PA) có hiệu năng tốt với bộ vi xử lý mạnh mẽ từ CPU Gen 13, RAM 16 GB đáp ứng đa dạng nhu cầu sử dụng của bạn. Điều này làm cho chiếc laptop này trở thành lựa chọn hấp dẫn cho công việc văn phòng, giải trí và sử dụng hàng ngày.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Raptor Lake - 1335U,1.3GHz,3200 MHz,512 GB SSD NVMe PCIe,"3-cell, 41Wh",15.6,Windows 11 Home SL,Full HD (1920 x 1080),"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB, Power Delivery và DisplayPort)"
322222,https://www.thegioididong.com/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001),12290000.0,-12%,Acer,4.9,6 đánh giá,"Mẫu máy tính xách tay văn phòng quốc dân, laptop Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001) với bộ thông số cấu hình ổn định cho mọi công việc và giải trí cá nhân, kiểu dáng thanh lịch cùng kích thước nhỏ gọn là sự lựa chọn hoàn hảo theo xu thế ngày nay.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,AMD Ryzen 7 - 5700U,1.8GHz,4266 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","3-cell, 50Wh",14,Windows 11 Home SL,WUXGA,"Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
1 x USB Type-C (hỗ trợ USB 3.2, DisplayPort)"
322270,https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i5-nk376w,Laptop Asus Vivobook X1404ZA i5 1235U/16GB/512GB/Win11 (NK376W),14490000.0,-12%,Asus,4.9,11 đánh giá,"Một gương mặt thân quen trong thị trường laptop học tập - văn phòng, laptop Asus Vivobook X1404ZA i5 1235U (NK376W) sở hữu hơi hướng thời thượng, cao cấp với vẻ ngoài tinh tế đầy thu hút, đi kèm với đó là hiệu năng vượt trội hơn so với những sản phẩm đồng phân khúc, mang lại cho người dùng trải nghiệm tuyệt vời nhất.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Alder Lake - 1235U,1.3GHz,3200 MHz,512 GB SSD NVMe PCIe,NaN,14,NaN,Full HD (1920 x 1080),"1 x USB 2.0
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI
USB Type-C"
333104,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i7-71053682,Laptop Dell Inspiron 15 3520 i7 1255U/16GB/512GB/120Hz/OfficeHS/Win11 (71053682),19990000.0,NaN,Dell,5,,"Nếu bạn đang tìm kiếm một chiếc laptop văn phòng mạnh mẽ, tiện dụng với ngoại hình tinh tế, laptop Dell Inspiron 15 3520 i7 1255U (71053682) chắc chắn là một lựa chọn đáng cân nhắc. Với cấu hình vượt trội, màn hình sắc nét và thiết kế hiện đại, sản phẩm này hứa hẹn sẽ trở thành trợ thủ đắc lực cho cả công việc lẫn giải trí.",Bảo hành chính hãng laptop 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i7 Alder Lake - 1255U,1.7GHz,2666 MHz,512 GB SSD NVMe PCIe,"4-cell, 54Wh",15.6,Windows 11 Home SL + Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic,Full HD (1920 x 1080),"1 x USB 2.0
2 x USB 3.2
HDMI
1 x Headphone/microphone combo"
322072,https://www.thegioididong.com/laptop/lenovo-loq-gaming-15iax9-i5-83gs000jvn,Laptop Lenovo Gaming LOQ 15IAX9 i5 12450HX/16GB/512GB/6GB RTX3050/144Hz/Win11 (83GS000JVN),21690000.0,-13%,Lenovo,4.9,21 đánh giá,"Laptop Lenovo LOQ Gaming 15IAX9 i5 12450HX (83GS000JVN) mang dáng dấp kiểu mẫu từ những chiếc laptop gaming nhà Lenovo, đưa đến một phiên bản hoàn toàn mới, đầy thời thượng. Laptop gaming còn được tích hợp với cấu hình mạnh mẽ, khung hình mượt mà cho phép bạn trải nghiệm sâu mọi tựa game.",Bảo hành chính hãng laptop 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,Intel Core i5 Alder Lake - 12450HX,Hãng không công bố,4800 MHz,"512 GB SSD NVMe PCIe Gen 4.0
Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng",60 Wh,15.6,Windows 11 Home SL,Full HD (1920 x 1080),"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
1 x USB-C 3.2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)
LAN (RJ45)"
